,channelName,id,subscribers,total views,total videos,created date,description,playlistId
12,AFP News Agency,UC86dbj-lbDks_hZ5gRKL49Q,1710000,921187440,95358,2006-01-10T13:15:40Z,"AFP is a leading global news agency providing fast, comprehensive and verified coverage of the events shaping our world and the issues affecting our daily lives. Drawing from an unparalleled newsgathering network across 151 countries, AFP is also a world leader in digital verification. With 2,400 staff representing 100 different nationalities, AFP covers the world in six languages, with its unique brand of multimedia storytelling spanning video, text, photo and graphics.

If you want to know more about AFP’s offers or want to license a video, please follow this link 👉 http://u.afp.com/wvnD 

AFP’s services and content are for professional use only. 
",UU86dbj-lbDks_hZ5gRKL49Q
13,CBS Evening News,UCAeWdyKJXGWmVAXFpgLNNTg,1750000,1484848653,27169,2013-04-24T15:20:29Z,"""CBS Evening News with Norah O'Donnell"" delivers the latest news and original reporting, and goes beyond the headlines with context and depth. Watch ""CBS Evening News"" on weekdays at 6:30 p.m. ET on CBS and stream it at 10 p.m. ET on the CBS News app.

For licensing inquiries, contact: licensing@veritone.com

",UUAeWdyKJXGWmVAXFpgLNNTg
14,SABC News,UC8yH-uI81UUtEMDsowQyx1g,1970000,1012679288,199036,2012-02-29T11:19:30Z,"SABC News, Africa's news leader at www.sabcnews.com is the online news portal of South Africa's public broadcaster. 
The South African Broadcasting Corporation has 18 radio stations and 3 television stations broadcasting in 11 languages, and a web presence on www.sabc.co.za. With its extensive coverage of local and international events on Radio and TV, the SABC News online service carries the best content gathered by SABC radio and TV news teams.",UU8yH-uI81UUtEMDsowQyx1g
15,Forbes Breaking News,UCg40OxZ1GYh3u3jBntB6DLg,1990000,2266224364,62476,2017-06-28T19:03:36Z,,UUg40OxZ1GYh3u3jBntB6DLg
16,The Guardian,UCHpw8xwDNhU9gdohEcJu4aA,2110000,677954954,7107,2006-02-15T03:22:40Z,"The Guardian brings you news, documentaries, and explainers about current global issues.

The Guardian has been providing high-impact, independent journalism since 1821, always free from commercial and political influence. Help sustain our future by making a contribution today ► https://bit.ly/2Zyt72O

The Guardian YouTube network:

Guardian News ► http://is.gd/guardianwires
Guardian Football ► http://is.gd/guardianfootball
Guardian Sport ► http://bit.ly/GDNsport
Guardian Australia ► http://bit.ly/gdnaustraliasubs
",UUHpw8xwDNhU9gdohEcJu4aA
17,Washington Post,UCHd62-u_v4DvJ8TCFtpi4GA,2180000,1160093961,20450,2006-06-30T21:32:19Z,"Live events, breaking news, analysis and more from The Washington Post.

Comments and community are moderated according to these rules: http://wapo.st/rules",UUHd62-u_v4DvJ8TCFtpi4GA
18,euronews,UCSrZ3UV4jOidv8ppoVuvW9Q,2270000,1321882707,95594,2006-09-19T02:45:15Z,"Welcome to the official Euronews YouTube channel!

Around the clock, our team of 500 journalists of more than 30 different nationalities gathers news with impartial perspective, beyond the headlines content and voices from across Europe and the world. Our YouTube channel has all this and more, bringing you selected and original content from the world's most trusted news source.

Our mission is to empower people to form their own opinion. We trust in people’s intelligence and ability to make up their own mind and seek to provide our audience with the greatest diversity of viewpoints through journalism that is unapologetically impartial. We don’t trade in bias and outrage, we focus on facts, ideas, and solutions. We believe all views matter.

Euronews was born out of a will to create a strong independent European news channel in 1993. As the only international news media with a European perspective, Euronews is where the world turns to hear what Europe has to say.

Check us out on ⬇️",UUSrZ3UV4jOidv8ppoVuvW9Q
19,CNBC Television,UCrp_UI8XtuYfpiqluWLD7Lw,2450000,1691669682,103527,2018-05-29T15:09:14Z,,UUrp_UI8XtuYfpiqluWLD7Lw
20,NowThis News,UCn4sPeUomNGIr26bElVdDYg,2550000,1885781130,20172,2012-09-05T12:09:54Z,"NowThis is your premier news outlet providing you with all the videos you need to stay up to date on all the latest in trending news. From entertainment to politics, to viral videos and breaking news stories, we’re delivering all you need to know straight to your social feeds. We live where you live.
",UUn4sPeUomNGIr26bElVdDYg
21,Daily Mail,UCw3fku0sH3qA3c3pZeJwdAw,2550000,1900892440,52947,2012-08-20T10:16:40Z,"Daily Mail (MailOnline) is one of the world's largest English speaking news sites. Feed your daily addiction with trending and viral videos from all our top channels: US news, UK news & World news, Celebrity & Showbiz, Sports, Femail, Science & Tech, Health, Money, Travel, and many more.",UUw3fku0sH3qA3c3pZeJwdAw
22,Voice of America,UCVSNOxehfALut52NbkfRBaA,2570000,1157903491,44140,2008-03-14T17:13:45Z,"Voice of America (VOA) is the largest U.S. international broadcaster, providing news and information in more than 40 languages to an estimated weekly audience of 236.8 million people. VOA produces content for digital, television, and radio platforms. It is easily accessed via your mobile phone and on social media. It is also distributed by satellite, cable, FM and MW, and is carried on a network of approximately 3,000 affiliate stations. 

Since its creation in 1942, Voice of America has been committed to providing comprehensive coverage of the news and telling audiences the truth. Through World War II, the Cold War, the fight against global terrorism, and the struggle for freedom around the globe today, VOA exemplifies the principles of a free press.",UUVSNOxehfALut52NbkfRBaA
23,Channel 4 News,UCTrQ7HXWRRxr7OsOtodr2_w,2640000,1393461558,14981,2006-07-05T23:18:56Z,"News that's committed to challenging expectations with stories that reveal and inspire, innovatively produced - with just a touch of mischief.",UUTrQ7HXWRRxr7OsOtodr2_w
24,The Economist,UC0p5jTq6Xx_DosDFxVXnWaQ,3060000,303180024,550,2009-03-23T18:16:22Z,"The Economist videos give authoritative insight and opinion on international news, politics, business, finance, science, technology and the connections between them.

We're also producing full films such as The Disrupters, an original series exploring how major industries—from music and cars to hospitality—are currently being disrupted by the latest wave of digital innovation. As well as enjoying privileged access into the world biggest tech start ups we show how industry giants respond when faced with such tech-driven innovation—do they adapt—or die?

Subscribe to our channel to be among the first to see the new films in the series when we post them.",UU0p5jTq6Xx_DosDFxVXnWaQ
25,CBC News,UCuFFtHWoLl5fauMMD5Ww2jA,3320000,1839650860,25345,2014-07-25T13:46:46Z,"As Canada's national public news and information service, the CBC is committed to a set of values that include accuracy, fairness, balance, impartiality and integrity.
Since the 1930s, CBC News services have kept Canadians at home and abroad informed about their communities, their country and the world. CBC/Radio-Canada is the country’s largest news organization, employing several hundred journalists in Canada and around the globe. Our stories appear on CBC Television, CBC Radio, the CBC News Network, CBCNews.ca and other digital platforms. ",UUuFFtHWoLl5fauMMD5Ww2jA
26,Sky News Australia,UCO0akufu9MOzyz3nvGIXAAw,3420000,3474427841,114963,2007-06-20T01:57:21Z,"Real news, honest views.

The best award-winning journalists with unique and exclusive insights. Fearless opinions from the big names who are passionate about the country we live in.",UUO0akufu9MOzyz3nvGIXAAw
27,Global News,UChLtXXpo4Ge1ReTEboVvTDg,3600000,2097341385,34693,2009-11-04T20:46:32Z,"Welcome to the official Global News channel on YouTube. Please subscribe and join us at our website: http://globalnews.ca.

Commenting Policy:
Please keep your comments and posts clean, constructive and on topic. Unlawful, disrespectful, slanderous, defamatory, malicious, threatening, profane, obscene, tasteless or pornographic remarks will not be tolerated, and will be deleted without notice. Spam, graffiti, campaigning and advertising are also strictly prohibited. While we encourage free speech and debate, harassment and attacks on fellow YouTube users are unacceptable. Repeated abusers of this policy will be reported, and may be banned.

Schedule of Original Content:

Daily - Global National
Sunday - The West Block",UUhLtXXpo4Ge1ReTEboVvTDg
28,PBS NewsHour,UC6ZFN9Tx6xh-skXCuRHCDpQ,3680000,2220425184,45853,2009-11-30T16:50:12Z,PBS NewsHour is one of the most trusted news programs in television and online.,UU6ZFN9Tx6xh-skXCuRHCDpQ
29,USA TODAY,UCP6HGa63sBC7-KHtkme-p-g,3800000,2239567054,17240,2006-03-20T16:16:43Z,"From heartwarming moments to the latest in sports, entertainment, and politics, our journalists are dedicated to bringing clarity to the news of the day with unique visual storytelling.
",UUP6HGa63sBC7-KHtkme-p-g
30,The Telegraph,UCPgLNge0xqQHWM5B5EFH9Cg,3940000,2930158866,30986,2006-11-19T00:03:44Z,"The latest news videos, opinion pieces, animations and series content from the Telegraph, covering world events, sports, entertainment, technology, motoring, food, fashion, beauty, travel and more.

Subscribe to The Telegraph on YouTube ► https://bit.ly/3idrdLH

Visit the Telegraph website: http://www.telegraph.co.uk/

Like us on Facebook: https://www.facebook.com/TELEGRAPH.CO.UK

Follow us on Twitter: https://twitter.com/Telegraph",UUPgLNge0xqQHWM5B5EFH9Cg
31,The Sun,UCIzXayRP7-P0ANpq-nD-h5g,4170000,4025837064,17174,2007-06-12T13:54:05Z,"The Sun newspaper brings you the latest breaking news videos and explainers from the UK and around the world.

Whether it’s Joe Biden or Narendra Modi; Boris Johnson or Keir Starmer, Jacob Rees-Mogg or Anna Soubry, Marvel or DC Comics; subscribe to The Sun for the latest Brexit news, parliament live streams, MPs vote of no confidence and much more.",UUIzXayRP7-P0ANpq-nD-h5g
32,The New York Times,UCqnbDFdCpuN8CMEg0VuEBqA,4320000,1437832516,10092,2006-10-13T21:57:36Z,"The New York Times is the most powerful engine for independent, boots-on-the-ground and deeply reported journalism. We set the standard for the most ambitious and innovative storytelling across features, news and investigations. Because we’re journalists, we’re excited to report the news as quickly as possible, use new technological resources to uncover the truth, and unearth new cultural phenomenons with our critics. The internet didn’t plant these ideas in our heads. We’ve always been this way.  It's all the news that's fit to watch. On YouTube.",UUqnbDFdCpuN8CMEg0VuEBqA
33,PINAS INSIDER,UC2CF_QHyRE3I4j_qHyviVug,440000,14106880,187,2016-09-06T12:55:12Z,"Pinaka-latest na balita sa bansa. Please Subscribe para laging updated. Thank You.

Disclaimer: 

Due to the social nature of this site , this channel may make use of  copyrighted material, the use of which has not always been specifically authorized by the copyright owner. It's application constitutes a fair use of any such copyrighted material as provided for in Section 107 of the US Copyright Law. In accordance with Title 17 U.S.C Section 107.",UU2CF_QHyRE3I4j_qHyviVug
34,Wall Street Journal,UCK7tptUDHh-RYDsdxO1-5QQ,4470000,1634399734,27501,2007-06-18T18:06:47Z,"The new WSJ Video takes you inside carefully selected stories and events in a visually captivating way so you can dig deeper into the news that matters to you. You’ll get breaking headlines, immersive features, interactive media and even virtual reality reporting whether on the go, in the boardroom or at home.",UUK7tptUDHh-RYDsdxO1-5QQ
35,DW News,UCknLrEdhRCp1aegoMqRaCZg,4660000,1990678977,30946,2007-09-04T12:04:10Z,"Journalism that’s Made for Minds. Follow us for global news and analysis from the heart of Europe. DW News delivers the world's breaking news while going deep beneath the surface of what's going on. Correspondents on the ground and in the studio provide their detailed analysis and insights on issues that affect our viewers. 

Deutsche Welle is Germany’s international broadcaster, producing content in 30 languages. We independently report social, political and economic developments in Germany and Europe, incorporating both German and other perspectives. DW hopes to promote understanding between different cultures and peoples. 

While funded by the German government, the work of DW is regulated by the Deutsche Welle Act (http://p.dw.com/p/17MtP), meaning content is always independent of government influence. 

We ask that you please keep comments and discussions on this channel clean and respectful. For further information please click the 'DW Netiquette' link below.",UUknLrEdhRCp1aegoMqRaCZg
36,CBS News,UC8p1vwvWtl6T73JiExfWs1g,5070000,4380217227,112297,2006-09-27T13:38:41Z,"CBS News is a trusted source for the latest in politics, U.S. and world news. The network is home to award-winning broadcasts CBS Mornings, CBS Evening News with Norah O’Donnell, 60 Minutes, CBS Sunday Morning, 48 Hours and Face the Nation.

CBS News Streaming Network is the premier 24/7 anchored streaming news service from CBS News and Stations, available free to everyone with access to the Internet. The CBS News Streaming Network is your destination for breaking news, live events and original reporting locally, nationally and around the globe. Launched in November 2014 as CBSN, the CBS News Streaming Network is available live in 91 countries and on 30 digital platforms and apps, as well as on CBSNews.com and Paramount+.

Subscribe to our YouTube channel for breaking news, live events and in-depth reporting from CBS News.

For licensing inquiries, contact: licensing@veritone.com
",UU8p1vwvWtl6T73JiExfWs1g
37,The Young Turks,UC1yBKRuGpC1tSM73A0ZjYjQ,5490000,6304890718,55378,2005-12-21T20:46:51Z,"The Largest Online News Show in the World. Hosted by Cenk Uygur & Ana Kasparian. LIVE weekdays 6-8pm ET. 

Young Turk (n), 1. Young progressive or insurgent member of an institution, movement, or political party. 2. Young person who rebels against authority or societal expectations. (American Heritage Dictionary)

The Young Turks were the first original talk show on Sirius satellite radio and the first live, daily webcast on the internet. But that is not the revolution.

We are a rare show that combines all of the news that people care about in one place. We are not afraid to talk about politics and entertainment and sports and pop culture. But that is not the revolution either. 

Subscribe to The Young Turks on YouTube: https://www.youtube.com/subscription_center?add_user=theyoungturks

Like The Young Turks on Facebook: https://facebook.com/theyoungturks
Follow The Young Turks on Twitter: https://twitter.com/theyoungturks

Buy TYT Merch: https://www.shoptyt.com",UU1yBKRuGpC1tSM73A0ZjYjQ
38,MSNBC,UCaXkIU1QidjPwiAYu6GcHjg,5790000,10428519286,69577,2011-12-01T19:16:09Z,"The official MSNBC YouTube Channel. MSNBC  is the premier destination for in-depth analysis of daily headlines, insightful political commentary and informed perspectives. Reaching more than 95 million households worldwide, MSNBC  offers a full schedule of live news coverage, political opinions and award-winning documentary programming -- 24 hours a day, 7 days a week.

Sign up for newsletters!: MSNBC.com/NewslettersYouTube",UUaXkIU1QidjPwiAYu6GcHjg
39,Complex,UCE_--R1P5-kfBzHTca0dsnw,6150000,2005089333,3459,2016-03-01T23:06:33Z,"COMPLEX is a community of creators and curators, armed with the Internet, committed to surfacing and sharing the voices and conversations that define our new America. Our videos exemplify convergence culture, exploring topics that include music, sneakers, style, sports and pop culture through original shows and Complex News segments. Featuring your favorite celebrities, authoritative commentary, and a unique voice, our videos make culture pop.

Get your Complex merch here!: https://shop.complex.com/collections/complex",UUE_--R1P5-kfBzHTca0dsnw
40,Sky News,UCoMdktPbSTixAyNGwb-UYkQ,6520000,3947899272,36025,2006-06-12T12:03:23Z,"The best of Sky News video from the UK and around the world.

Sky News is now available in Spanish/Los video de Sky News están disponibles en español aquí: https://www.youtube.com/channel/UCzG5BnqHO8oNlrPDW9CYJog

Follow Sky News on Telegram: T.me/skyNews",UUoMdktPbSTixAyNGwb-UYkQ
41,WION,UC_gUM8rL-Lrg6O3adPW9K1g,7600000,4011406549,107149,2016-05-19T12:55:08Z,"WION -The World is One News, examines global issues with in-depth analysis. We provide much more than the news of the day. Our aim to empower people to explore their world. With our Global headquarters in New Delhi, we bring you news on the hour, by the hour. We deliver information that is not biased. We are journalists who are neutral to the core and non-partisan when it comes to the politics of the world. People are tired of biased reportage and we stand for a globalised united world. So for us the World is truly One.",UU_gUM8rL-Lrg6O3adPW9K1g
42,NBC News,UCeY0bbntWzzVIaj2z3QigXg,8150000,5549250698,53276,2006-07-19T20:46:03Z,"NBC News Digital is a collection of innovative and powerful news brands that deliver compelling, diverse and engaging news stories. NBC News Digital features NBCNews.com, MSNBC.com, TODAY.com, Nightly News, Meet the Press, Dateline, and the existing apps and digital extensions of these respective properties.  We deliver the best in breaking news, live video coverage, original journalism and segments from your favorite NBC News Shows.


Connect with NBC News:
NBC News App: https://smart.link/5d0cd9df61b80
Breaking News Alerts: https://link.nbcnews.com/join/5cj/breaking-news-signup?cid=sm_npd_nn_yt_bn-clip_190621
Visit NBCNews.Com: http://nbcnews.to/ReadNBC
Find NBC News on Facebook: http://nbcnews.to/LikeNBC
Follow NBC News on Twitter: http://nbcnews.to/FollowNBC
Follow NBC News on Instagram: http://nbcnews.to/InstaNBC",UUeY0bbntWzzVIaj2z3QigXg
